customer_id,customer_type,method,rank,product_id,product_name,producer_id,score,reason_codes,reason_text
C000003,young_professional,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000003,young_professional,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000003,young_professional,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000005,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000005,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000005,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000006,restaurant,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000006,restaurant,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000006,restaurant,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000007,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000007,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000007,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000008,family,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000008,family,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000008,family,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000009,young_professional,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000009,young_professional,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000009,young_professional,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000010,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000010,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000010,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000011,restaurant,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000011,restaurant,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000011,restaurant,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000012,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000012,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000012,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000013,young_professional,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000013,young_professional,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000013,young_professional,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000014,family,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000014,family,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000014,family,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000015,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000015,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000015,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000016,restaurant,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000016,restaurant,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000016,restaurant,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000017,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000017,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000017,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000018,family,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000018,family,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000018,family,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000020,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000020,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000020,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000021,restaurant,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000021,restaurant,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000021,restaurant,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000022,community_group,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000022,community_group,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
C000022,community_group,global_popularity,3,P000096,New Season Potatoes,PR000003,0.805112,globally_popular_product,Recommended because it is popular across the marketplace.
C000024,family,global_popularity,1,P000132,Leek and Onion Box,PR000003,1.0,globally_popular_product,Recommended because it is popular across the marketplace.
C000024,family,global_popularity,2,P000097,Aged Farmhouse Cheddar,PR000004,0.808307,globally_popular_product,Recommended because it is popular across the marketplace.
